,date,precipitation,avg_temp,lowest_temp,highest_temp,is_rain,is_snow,is_holiday
354,2021-12-21,0.0,6.0,0.5,12.7,False,False,False
355,2021-12-22,0.0,2.7,-2.4,10.3,False,False,False
356,2021-12-23,0.0,2.2,-3.6,9.9,False,False,False
357,2021-12-24,0.9,2.2,-2.6,8.0,True,False,False
358,2021-12-25,0.7,-6.1,-9.8,-0.7,False,True,True
359,2021-12-26,0.2,-8.4,-12.2,-4.0,False,True,True
360,2021-12-27,0.1,-4.6,-11.2,0.5,False,True,False
361,2021-12-28,0.0,0.0,-5.2,4.9,False,False,False
362,2021-12-29,0.1,2.5,-2.5,7.5,True,False,False
363,2021-12-30,0.4,-0.7,-3.3,2.7,False,True,False
364,2021-12-31,0.0,-3.9,-7.2,0.1,False,False,False
